trajet_id,latitude,longitude
4187532,50.680756,10.908717
4187532,50.68074,10.908674
4187532,50.6807,10.90857
4187532,50.680674,10.908509
4187532,50.680656,10.908468
4187532,50.68053,10.908151
4187532,50.680488,10.908058
4187532,50.680467,10.908011
4187532,50.68044,10.907962
4187532,50.680415,10.907928
4187532,50.680398,10.9079
4187532,50.680375,10.907865
4187532,50.680352,10.907831
4187532,50.68033,10.907797
4187532,50.680307,10.90777
4187532,50.680287,10.907743
4187532,50.680266,10.90772
4187532,50.680245,10.907698
4187532,50.680222,10.907672
4187532,50.680199,10.90765
4187532,50.680177,10.907632
4187532,50.680155,10.907615
4187532,50.680132,10.907598
4187532,50.680108,10.907583
4187532,50.680085,10.907568
4187532,50.680064,10.907553
4187532,50.680044,10.907537
4187532,50.680024,10.907521
4187532,50.680004,10.907508
4187532,50.679986,10.907495
4187532,50.679963,10.907482
4187532,50.67995,10.907476
4187532,50.679932,10.907467
4187532,50.679913,10.90746
4187532,50.679898,10.907449
4187532,50.67988,10.907444
4187532,50.67986,10.907441
4187532,50.679842,10.907429
4187532,50.679823,10.907423
4187532,50.679804,10.907413
4187532,50.679787,10.907405
4187532,50.679772,10.907397
4187532,50.679754,10.90739
4187532,50.679736,10.907382
4187532,50.679718,10.907371
4187532,50.679699,10.907365
4187532,50.679676,10.90736
4187532,50.679661,10.907359
4187532,50.679642,10.907352
4187532,50.679623,10.907346
4187532,50.679602,10.907342
4187532,50.679585,10.907337
4187532,50.679568,10.907329
4187532,50.679548,10.907322
4187532,50.679529,10.907315
4187532,50.679505,10.907307
4187532,50.679488,10.9073
4187532,50.679471,10.907291
4187532,50.679454,10.907284
4187532,50.679434,10.907275
4187532,50.67941,10.907266
4187532,50.679392,10.907257
4187532,50.679372,10.907253
4187532,50.679355,10.907248
4187532,50.679333,10.907238
4187532,50.67931,10.90723
4187532,50.679289,10.907219
4187532,50.679263,10.907204
4187532,50.679241,10.907194
4187532,50.679223,10.907182
4187532,50.679202,10.907171
4187532,50.679176,10.907157
4187532,50.679153,10.907146
4187532,50.679135,10.907136
4187532,50.679114,10.907123
4187532,50.679093,10.90711
4187532,50.679066,10.907091
4187532,50.679044,10.907079
4187532,50.679028,10.90707
4187532,50.679007,10.907055
4187532,50.678985,10.907038
4187532,50.67896,10.907018
4187532,50.678938,10.907005
4187532,50.678914,10.906991
4187532,50.678892,10.906977
4187532,50.678874,10.906963
4187532,50.678853,10.906942
4187532,50.678832,10.906919
4187532,50.678811,10.906899
4187532,50.678785,10.90687
4187532,50.678771,10.906845
4187532,50.678751,10.906826
4187532,50.678725,10.906801
4187532,50.678705,10.906779
4187532,50.678687,10.90676
4187532,50.678666,10.906734
4187532,50.678648,10.906708
4187532,50.678622,10.906678
4187532,50.678599,10.906654
4187532,50.678579,10.906631
4187532,50.678563,10.90661
4187532,50.678543,10.906582
4187532,50.678523,10.906558
4187532,50.678496,10.906528
4187532,50.678481,10.906501
4187532,50.67846,10.906471
4187532,50.678444,10.906452
4187532,50.678422,10.906429
4187532,50.678402,10.906403
4187532,50.678376,10.906369
4187532,50.678356,10.906341
4187532,50.678339,10.906321
4187532,50.678317,10.906297
4187532,50.678294,10.906273
4187532,50.678266,10.906242
4187532,50.678242,10.906213
4187532,50.678224,10.906191
4187532,50.6782,10.906163
4187532,50.678176,10.906135
4187532,50.678147,10.906103
4187532,50.678123,10.906076
4187532,50.678103,10.906055
4187532,50.67808,10.906028
4187532,50.678058,10.906001
4187532,50.678028,10.905971
4187532,50.678009,10.905953
4187532,50.677984,10.905934
4187532,50.67796,10.905913
4187532,50.677936,10.90589
4187532,50.677908,10.905869
4187532,50.677876,10.905847
4187532,50.677849,10.905828
4187532,50.677829,10.905812
4187532,50.677802,10.905791
4187532,50.677776,10.905771
4187532,50.677635,10.90569
4187532,50.677524,10.905635
4187532,50.677312,10.905528
4187532,50.67718,10.905462
4187532,50.677155,10.905446
4187532,50.677123,10.905434
4187532,50.6771,10.905433
4187532,50.677071,10.905435
4187532,50.677049,10.905438
4187532,50.67703,10.905443
4187532,50.67701,10.905465
4187532,50.677001,10.905482
4187532,50.676991,10.905504
4187532,50.676982,10.905515
4187532,50.676979,10.905514
4187532,50.676979,10.905514
4187532,50.676979,10.905514
4187532,50.676979,10.905514
4187532,50.676979,10.905514
4187532,50.676979,10.905514
4187532,50.676979,10.905514
4187532,50.676979,10.905514
4187532,50.676979,10.905514
4187532,50.676979,10.905514
4187532,50.676979,10.905514
4187532,50.676979,10.905514
4187532,50.676979,10.905514
4187532,50.676979,10.905514
4187532,50.676902,10.905526
4187532,50.67681,10.90552
4187532,50.676779,10.90552
4187532,50.676752,10.905514
4187532,50.676723,10.905504
4187532,50.6767,10.905492
4187532,50.676655,10.90547
4187532,50.676632,10.905462
4187532,50.676609,10.905459
4187532,50.676583,10.905455
4187532,50.676562,10.905447
4187532,50.676538,10.905435
4187532,50.676509,10.90543
4187532,50.676485,10.905421
4187532,50.676454,10.905414
4187532,50.676421,10.905405
4187532,50.676388,10.90539
